,year,incident,containment,start_date,end_date,cdf_burned,other_burned,total_burned,struct_dest,struct_dam,death_fire,death_civil
210,2002,SLU-4041,100%,7/18/02,7/19/02,1380,NA,NA,6,0,0,0
211,2002,TUU-7497,100%,7/21/02,7/24/02,NA,1800,NA,94,NA,NA,NA
212,2002,TUU-7693,100%,7/21/02,9/3/02,NA,150696,NA,17,NA,NA,NA
213,2002,SKU-3049,100%,7/26/02,8/2/02,NA,2880,NA,NA,NA,3,NA
214,2002,AEU-11411,100%,7/26/02,7/28/02,NA,320,320,NA,NA,NA,NA
215,2002,HUU-3522,100%,7/28/02,8/1/02,NA,850,850,NA,NA,NA,NA
216,2002,MVU-5658,100%,7/29/02,8/16/02,61690,NA,NA,160,4,0,0
217,2002,SCU-3198,100%,8/5/02,8/5/02,549,NA,549,0,0,0,0
218,2002,LNU-6171,100%,8/9/02,8/10/02,800,NA,800,0,0,0,0
219,2002,BEU-3023,100%,8/10/02,8/11/02,NA,1400,NA,NA,NA,NA,NA
220,2002,RRU-58948,100%,8/11/02,8/12/02,498,NA,498,0,1,0,0
221,2002,MVU-4450,100%,NA,6/22/02,1188,NA,NA,3,1,0,0
222,2003,BDU-1061,NA,1/6/03,1/7/03,1300,NA,1300,NA,NA,NA,NA
223,2003,RRU-15024,NA,2/23/03,2/23/03,0,12000,NA,0,0,0,0
224,2003,BDU-3731,NA,4/24/03,4/26/03,NA,600,600,NA,NA,NA,NA
225,2003,TUU-4174,NA,5/3/03,5/3/03,0,3000,NA,0,0,0,0
226,2003,BEU-1514,NA,5/18/03,5/18/03,NA,628,628,0,0,0,0
227,2003,FKU-6009,NA,5/28/03,5/28/03,0,1000,NA,0,0,0,0
228,2003,SCU-1735,NA,5/29/03,6/1/03,597,NA,597,0,0,0,0
229,2003,SCU-1791,NA,6/1/03,6/1/03,6804,NA,NA,0,0,0,0
230,2003,MMU-9021,NA,6/2/03,6/2/03,NA,650,650,2,0,0,0
231,2003,MMU-9232,NA,6/5/03,6/10/03,NA,300,300,NA,NA,NA,NA
232,2003,TUU-5638,NA,6/6/03,6/6/03,NA,564,564,0,0,0,0
233,2003,TGU-3255,NA,6/10/03,6/10/03,NA,300,300,0,0,0,0
234,2003,MMU-9901,NA,6/15/03,6/16/03,1558,NA,NA,0,0,0,0
235,2003,TUU-6106,NA,6/16/03,6/17/03,NA,1223,NA,NA,NA,NA,NA
236,2003,MVU-4134,NA,6/17/03,6/18/03,288,116,404,NA,NA,NA,NA
237,2003,BDU-11055,NA,6/18/03,6/22/03,NA,1173,NA,NA,NA,NA,NA
238,2003,FKU-7076,NA,6/19/03,6/19/03,NA,15000,NA,0,0,0,0
239,2003,MMU-10475,NA,6/23/03,6/23/03,700,NA,700,0,0,0,0
240,2003,TGU-003554,NA,6/23/03,6/23/03,610,NA,610,0,0,0,0
