"","MAPMETHOD","AGENCY","COMPLEXNM","INCOMPLEX","FIRE_NAME","YEAR","GIS_ACRES","ALARM_DATE","CONT_DATE","CAUSE","YEARn"
"229",NA,"USF",NA,NA,"RAILROAD","2017",12371.1484375,2017-08-29,2017-11-18,9,48
"230",NA,"USF",NA,NA,"BUCK","2017",13357.2822266,2017-09-12,2017-10-30,1,48
"231",NA,"USF",NA,NA,"WHITTIER","2017",18412.4042969,2017-07-08,2017-12-21,9,48
"232",NA,"USF",NA,NA,"THOMAS","2017",281790.875,2017-12-04,2018-01-12,9,48
"233",NA,"USF",NA,NA,"OAK","2017",91125.328125,2017-08-11,2017-10-10,1,48
"234",NA,"USF",NA,NA,"WALLOW","2017",63785.0703125,2017-08-11,2017-11-13,1,48
"235",NA,"USF",NA,NA,"COVE","2017",30890.8613281,2017-07-25,2017-09-06,1,48
"236",NA,"USF",NA,NA,"STEELE","2017",45704.0117188,2017-07-26,2017-08-13,1,48
"237",NA,"CDF",NA,NA,"CASCADE","2017",16140.7988281,2017-10-08,2017-10-26,14,48
"238",NA,"CDF",NA,NA,"REDWOOD VALLEY","2017",36522.9453125,2017-10-08,2017-10-25,14,48
"239",NA,"USF",NA,NA,"ABNEY","2017",32893.2617188,2017-08-10,2018-01-10,1,48
